Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,3.8040,2.2949,3.8437,4.4944
2,3.7934,4.4434,3.8341,5.4307
3,3.7800,4.0527,3.8222,5.6180
4,3.7682,5.0293,3.8062,5.8052
5,3.7453,4.7363,3.7865,5.6180
6,3.7141,5.8105,3.7582,5.6180
7,3.6751,6.1035,3.7256,5.6180
8,3.6353,5.9082,3.6909,6.3670
9,3.5962,6.2988,3.6573,7.1161
10,3.5614,6.0059,3.6325,6.5543
11,3.5329,6.2012,3.5941,6.7416
12,3.5024,7.4707,3.5647,7.4906
13,3.4881,7.4707,3.5383,9.5506
14,3.4598,8.2031,3.5159,10.6742
15,3.4354,8.5449,3.4821,11.6105
16,3.4045,10.1562,3.4580,11.4232
17,3.3890,11.1816,3.4346,12.3596
18,3.3660,14.0137,3.3973,16.1049
19,3.3293,13.3789,3.3601,15.1685
20,3.2941,15.2832,3.3288,17.6030
21,3.2617,16.2598,3.2916,19.2884
22,3.2191,18.2129,3.2479,19.1011
23,3.1700,19.4336,3.2039,20.5993
24,3.1284,19.6289,3.1527,21.3483
25,3.0927,21.8750,3.1244,21.1610
26,3.0630,20.1660,3.0640,23.5955
27,3.0025,22.6074,3.0130,25.8427
28,2.9633,24.1211,2.9752,26.0300
29,2.9215,25.1465,2.9392,28.0899
30,2.8811,26.5625,2.9006,27.1536
31,2.8516,27.0508,2.8652,30.7116
32,2.8089,29.1992,2.8138,30.3371
33,2.7470,30.5176,2.7797,30.8989
34,2.7057,32.1289,2.7276,31.6479
35,2.6579,33.7891,2.6844,33.5206
36,2.6152,35.8887,2.6384,35.3933
37,2.5824,34.8633,2.6017,36.7041
38,2.5266,37.6465,2.5503,38.7640
39,2.4807,37.7930,2.5030,40.0749
40,2.4629,39.1113,2.4674,39.3258
41,2.3918,40.5273,2.4269,40.4494
42,2.3445,42.3340,2.3972,41.5730
43,2.3316,43.3105,2.3482,42.3221
44,2.2691,44.4336,2.3143,42.1348
45,2.2319,46.6797,2.2878,44.3820
46,2.2171,47.0703,2.2547,43.4457
47,2.1526,49.5117,2.2261,44.7566
48,2.1208,49.7070,2.1961,44.7566
49,2.1010,50.9277,2.1863,45.5056
50,2.0458,52.6855,2.1622,47.0037
